mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,varieties
217.2902671,211.7676753,208.0362667,26.4679901,25.26123222,29.41726265,54.98234339,12.24146722,217.5239574,68.18113551,6.974515677,26.07671729,0
211.6255844,210.5900163,205.3670347,25.16326552,22.75084358,27.31530408,46.69881665,9.577487469,212.6421596,53.7641919,9.175877315,23.51574702,0
213.8434845,210.1949605,207.4503153,25.67820269,23.62466801,26.21919405,51.69979039,9.595282886,214.6145723,62.99255414,6.594432671,24.54257978,0
220.0278235,214.5449393,209.3254533,23.32961912,22.18461034,26.23421641,26.92745923,13.19693478,220.1869746,44.61689473,7.54837062,22.96793905,0
219.4614479,215.2341141,212.3531481,25.14769937,23.83081308,27.59886929,67.02020135,9.26996073,219.6154502,73.51756993,7.047541357,24.85596798,0
213.2733858,208.8607165,205.5282525,26.77929271,25.1089455,29.55456106,67.04820048,11.20721642,213.9367432,70.77446423,9.310097364,25.7920196,0
213.1832171,209.2427148,205.2000914,25.77465473,23.97684649,27.21671386,45.13709159,11.16938183,213.9261053,59.35866406,8.232733176,24.69251828,0
216.549445,215.6953962,211.9543248,27.25275159,24.22044164,28.00532042,65.96577364,8.087004084,218.04375,63.67195996,7.186681661,25.01144875,0
224.1069025,221.9775035,218.9099727,22.61965823,20.34414315,23.71190601,49.72614764,7.437516812,224.9121959,60.90457094,6.916410951,20.77527028,0
218.0327459,215.8450245,211.628302,25.57351443,23.64522782,27.9028893,55.53153142,9.335007165,218.8963356,62.08399249,9.097372637,24.16323023,0
211.626245,211.1383012,206.9448315,25.70599563,23.10702292,27.24337309,56.95108616,8.610229499,213.1863431,57.14969227,7.843407602,23.74946186,0
217.7989544,216.7688018,212.6093329,23.34147772,21.26366047,24.86040199,52.93653071,7.584249394,218.5830667,58.21794092,5.992286185,21.96853868,0
221.4321728,217.7896116,213.8300952,26.25154437,22.883986,26.75191507,43.51344422,10.62963952,222.3800889,59.79303024,6.396963416,24.34830285,0
214.941511,213.9198605,210.785076,24.52735028,22.27442063,25.76549408,66.46771596,7.144634328,216.113933,63.32498112,7.205983585,23.04076581,0
216.8786508,215.3449764,211.4162413,23.59671294,22.04931624,26.12284903,60.77833882,7.94498197,217.5588195,62.34456578,7.774222628,22.40602861,0
218.0263252,214.7977532,211.1960974,25.27715787,23.7325037,27.49912266,57.86924477,9.832468525,218.8502663,65.73143445,9.745200268,23.75000152,0
224.7392251,220.2630331,216.3890333,23.64624076,23.13387077,27.27374413,45.9870409,10.38275211,224.9080649,63.58579372,8.465319405,23.24420906,0
213.3384065,211.7972815,206.9273972,27.77489221,25.35386154,30.28881589,53.52861451,10.05437805,214.5369473,59.48891854,9.396622871,25.89168959,0
204.3218398,217.3427487,218.6076549,29.75469982,23.78781408,25.86804921,91.64365112,18.53588862,219.3409342,15.9457497,10.90893677,24.72783145,0
195.741066,211.1848587,210.223669,33.44850971,28.05415766,32.15342184,87.15064734,22.11453442,212.6105304,14.69583443,11.48637382,29.0734432,0
213.1491026,211.7913652,207.3161903,23.45627372,20.87985805,24.72666066,50.99224576,9.574173988,214.5455137,55.56598902,8.029991286,21.42107942,0
219.2358563,218.0433308,214.5775346,23.89547415,21.28875369,25.08378887,60.20885739,7.447260685,220.3529082,61.40745021,6.757962508,22.0598554,0
213.6582347,212.2131127,207.5481728,25.88391518,23.18904079,27.58133605,57.30863795,10.11982406,215.1721562,58.47984377,9.194114998,23.80557317,0
221.9059064,217.8102388,214.7006857,24.59933048,21.84538554,25.01047563,53.88405345,9.493140998,222.5283808,66.61433155,6.491286158,23.39054988,0
219.7967078,214.9916253,212.541049,24.71061165,22.63086342,26.55518725,66.36742578,10.10101489,220.368838,73.36912296,6.693421242,23.66864741,0
223.1655511,218.3134922,214.9914074,22.3084927,20.28466926,23.76360336,37.16807256,10.21488885,223.5147306,57.95967467,6.143616494,21.51313391,0
221.118661,218.7882619,214.8239769,26.73261388,23.297129,27.2883867,55.57399828,9.545481804,222.4365497,63.30547057,8.679269521,24.26948443,0
